,Data,Hora UTC,"PRECIPITAÃÃO TOTAL, HORÃRIO (mm)",latitude,longitude,codigo,geometry
0,2019-01-01,2300 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
1,2019-01-01,2200 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
2,2019-01-01,2100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
3,2019-01-01,2000 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
4,2019-01-01,1900 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
5,2019-01-01,1800 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
6,2019-01-01,1700 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
7,2019-01-01,1500 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
8,2019-01-01,1400 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
9,2019-01-01,1300 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
10,2019-01-01,1200 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
11,2019-01-01,1100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
12,2019-01-01,1600 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
13,2019-01-01,0900 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
14,2019-01-01,1000 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
15,2019-01-01,0100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
16,2019-01-01,0200 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
17,2019-01-01,0300 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
18,2019-01-01,0400 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
19,2019-01-01,0000 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
20,2019-01-01,0600 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
21,2019-01-01,0700 UTC,",8",-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
22,2019-01-01,0800 UTC,",4",-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
23,2019-01-01,0500 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
24,2019-01-02,1400 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
25,2019-01-02,2300 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
26,2019-01-02,2200 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
27,2019-01-02,2100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
28,2019-01-02,2000 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
29,2019-01-02,1900 UTC,"12,4",-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
30,2019-01-02,1800 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
31,2019-01-02,1700 UTC,"5,2",-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
32,2019-01-02,1600 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
33,2019-01-02,1500 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
34,2019-01-02,1300 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
35,2019-01-02,0000 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
36,2019-01-02,1100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
37,2019-01-02,1200 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
38,2019-01-02,0200 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
39,2019-01-02,0300 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
40,2019-01-02,0400 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
41,2019-01-02,0500 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
42,2019-01-02,0100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
43,2019-01-02,0700 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
44,2019-01-02,0800 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
45,2019-01-02,0900 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
46,2019-01-02,1000 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
47,2019-01-02,0600 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
48,2019-01-03,1500 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
49,2019-01-03,2300 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
50,2019-01-03,2200 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
51,2019-01-03,2100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
52,2019-01-03,2000 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
53,2019-01-03,1900 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
54,2019-01-03,1800 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
55,2019-01-03,1700 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
56,2019-01-03,1600 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
57,2019-01-03,1400 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
58,2019-01-03,1300 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
59,2019-01-03,0100 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
60,2019-01-03,0000 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
61,2019-01-03,1200 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
62,2019-01-03,0200 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
63,2019-01-03,0300 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
64,2019-01-03,0500 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
65,2019-01-03,0400 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
66,2019-01-03,0700 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
67,2019-01-03,0800 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
68,2019-01-03,0900 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
69,2019-01-03,1000 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
70,2019-01-03,1100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
71,2019-01-03,0600 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
72,2019-01-04,1700 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
73,2019-01-04,1500 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
74,2019-01-04,1600 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
75,2019-01-04,1800 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
76,2019-01-04,1400 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
77,2019-01-04,2000 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
78,2019-01-04,2100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
79,2019-01-04,2200 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
80,2019-01-04,2300 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
81,2019-01-04,1900 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
82,2019-01-04,1300 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
83,2019-01-04,0100 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
84,2019-01-04,1100 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
85,2019-01-04,1200 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
86,2019-01-04,0200 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
87,2019-01-04,0300 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
88,2019-01-04,0400 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
89,2019-01-04,0500 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
90,2019-01-04,0000 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
91,2019-01-04,0700 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
92,2019-01-04,0800 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
93,2019-01-04,0900 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
94,2019-01-04,1000 UTC,,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
95,2019-01-04,0600 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
96,2019-01-05,1400 UTC,0,-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
97,2019-01-05,2300 UTC,",2",-12.627315,-52.220891,A916,POINT (-52.220891 -12.627315)
