,Data,Hora UTC,"PRECIPITAÃÃO TOTAL, HORÃRIO (mm)",latitude,longitude,codigo,geometry
0,2019-01-01,2200 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
1,2019-01-01,2100 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
2,2019-01-01,2000 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
3,2019-01-01,1900 UTC,",2",-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
4,2019-01-01,1800 UTC,"3,2",-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
5,2019-01-01,1700 UTC,1,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
6,2019-01-01,1600 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
7,2019-01-01,1500 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
8,2019-01-01,1400 UTC,",2",-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
9,2019-01-01,1300 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
10,2019-01-01,1200 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
11,2019-01-01,1100 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
12,2019-01-01,2300 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
13,2019-01-01,0900 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
14,2019-01-01,0800 UTC,"8,8",-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
15,2019-01-01,0700 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
16,2019-01-01,0600 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
17,2019-01-01,0500 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
18,2019-01-01,0400 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
19,2019-01-01,0300 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
20,2019-01-01,0200 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
21,2019-01-01,0100 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
22,2019-01-01,0000 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
23,2019-01-01,1000 UTC,",2",-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
24,2019-01-02,1600 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
25,2019-01-02,1700 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
26,2019-01-02,1800 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
27,2019-01-02,1900 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
28,2019-01-02,0000 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
29,2019-01-02,2100 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
30,2019-01-02,2200 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
31,2019-01-02,2300 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
32,2019-01-02,1500 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
33,2019-01-02,2000 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
34,2019-01-02,1400 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
35,2019-01-02,1300 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
36,2019-01-02,1200 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
37,2019-01-02,0200 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
38,2019-01-02,0300 UTC,0,-21.305889,-52.820375,S716,POINT (-52.820375 -21.305889)
